Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
He's a Rebel	Crystals		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					2877166	143			6	30		12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:57 PM	4	8/28/15, 11:43 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:06 He's a Rebel.mp3
In Dreams	Roy Orbison		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock/Pop	2741731	170			14			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:10 PM	2	8/28/15, 11:44 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:14 In Dreams.mp3
Shake The Disease	Depeche Mode		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	5742380	287	1	1	10	13	1985	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 10:58 PM	3	8/28/15, 11:26 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:10 Shake The Disease.mp3
Vincent	Don McLean		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3862865	241			13			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:43 PM	5	8/28/15, 11:19 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:13 Vincent.mp3
Up On The Roof	The Drifters		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				R&B	3184987	159	2	2	5	20	1964	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:20 PM	5	10/10/14, 10:41 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:2-05 Up On The Roof.mp3
How Deep Is Your Love	Bee Gees		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Pop	4864177	243	2	2	2	19	1977	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:25 PM			100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:2-02 How Deep Is Your Love.mp3
Bridge Over Troubled Water	Simon & Garfunkel		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	5901717	294	3	3	15	19	1997	12/6/13, 12:20 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 11:30 PM	8	8/28/15, 11:48 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:3-15 Bridge Over Troubled Water.mp3
One	Ed Sheeran	Ed Sheeran	x						Rock	6720956	252	1	1	1		2014	8/25/15, 1:37 AM	5/15/18, 8:58 PM	211	44100		MPEG audio file					3	8/24/15, 10:58 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Ed Sheeran:x:01 One.mp3
Crying	Roy Orbison		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock/Pop	2696174	167			6			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			2	12/9/11, 11:26 PM	5	8/28/15, 11:37 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:06 Crying.mp3
Tenerife Sea	Ed Sheeran	Johnny McDaid	x						Rock	6529362	241	1	1	8		2014	8/27/15, 8:18 PM	5/15/18, 8:58 PM	214	44100		MPEG audio file					3	8/24/15, 10:47 PM		Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Ed Sheeran:x:08 Tenerife Sea.mp3
Someone To Watch Over Me	Linda Ronstadt		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				Rock	5073691	253	1	2	5	15	1986	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			4	12/10/10, 11:33 PM			100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-05 Someone To Watch Over Me.mp3
Save The Best For Last	Vanessa Williams		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007				R&B	4459253	222	1	2	9	15	1991	12/10/07, 11:59 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			3	12/10/10, 11:31 PM	2	12/6/13, 11:37 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:1-09 Save The Best For Last.mp3
Kiss Me Goodbye	Petula Clark		Bill's Top 200 2006	Bill Top 200 2007	Bill Top 200 2007					3810620	238			4			12/10/07, 11:59 AM	5/15/18, 8:58 PM	128	44100		MPEG audio file			1	12/10/10, 11:59 PM	2	12/7/12, 11:50 PM	100	Macintosh HD:Users:karp:Music:iTunes:iTunes Media:Music:Compilations:Bill's Top 200 2006:04 Kiss Me Goodbye.mp3
