Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Elton-John-Bitter-Fingers-Live-Wembley-1975--yoodownload.com	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						5206897	324						3/9/19, 12:36 AM	5/18/18, 1:32 PM	128	44100		MPEG audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Elton-John-Bitter-Fingers-Live-Wembley-1975--yoodownload.com.mp3
014-Dusty Springfield - I Only Want To Be With You feb 1964	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						2505468	155						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/11/10, 12:03 AM	7	6/2/18, 9:54 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/014-Dusty Springfield - I Only Want To Be With You feb 1964.mp3
Out In The Country	3 Dog Night		Rob's Top 200 2018	Rob's Top 200 2018					Classic Rock	3807360	190			14		2001	4/12/19, 12:18 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file			1	12/10/10, 9:21 PM	4	6/2/18, 9:52 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/14 Out In The Country.mp3
She's Leaving Home_rob	The Beatles		Rob's Top 200 2018	Rob's Top 200 2018					Pop	5167597	215			5	11	1967	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file		TRACK06.mp3 - 	3	12/10/10, 11:12 PM	1	8/28/15, 11:11 PM	60	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/05 She's Leaving Home_rob.mp3
Queen - Don't Stop Me Now (Live In Paris, 03-01-1979)	XxSlenderMotoxX		Rob's Top 200 2018	Rob's Top 200 2018					Music	4558452	275					2018	4/12/19, 12:18 AM	5/18/18, 1:33 PM	128	44100		MPEG audio file		Download Youtube videos and MP3 on GenYoutube.net 			1	5/19/18, 11:28 AM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Queen - Don't Stop Me Now (Live In Paris, 03-01-1979).mp3
Every Picture Tells A Story	Rod Stewart		Rob's Top 200 2018	Rob's Top 200 2018					Soft Rock	4324459	360			5			3/9/19, 12:36 AM	5/15/18, 8:59 PM	96	44100		MPEG audio file		rob	1	12/10/10, 11:23 PM	4	6/2/18, 9:49 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/05 Every Picture Tells A Story.mp3
Wichita Lineman	Glen Campbell		Rob's Top 200 2018	Rob's Top 200 2018					Pop	3014503	187					1999	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	2	12/10/10, 11:33 PM	3	12/7/12, 11:02 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Wichita Lineman.mp3
Adele - When We Were Young (Live on SNL)	Various Artists		Rob's Top 200 2018	Rob's Top 200 2018						4712897	293						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file								Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Adele - When We Were Young (Live on SNL).mp3
Roll Over Beethoven	Chuck Berry 		Rob's Top 200 2018	Rob's Top 200 2018						2304352	143						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:35 PM	6	8/28/15, 11:34 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Roll Over Beethoven.mp3
Baby Workout	Jackie Wilson		Rob's Top 200 2018	Rob's Top 200 2018						2815627	175						3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/20/15, 6:29 PM	1	8/28/15, 11:41 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Baby Workout.mp3
New Kid In Town_rob	The Eagles		Rob's Top 200 2018	Rob's Top 200 2018					Rock	7343678	305	2	2	5	16	2003	3/9/19, 12:36 AM	5/15/18, 8:59 PM	192	44100		MPEG audio file			2	8/29/15, 8:03 PM	7	6/2/18, 9:43 PM	40	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/2-05 New Kid In Town_rob.mp3
Because	The Dave Clark Five		Rob's Top 200 2018	Rob's Top 200 2018	top200				Rock	2875718	143	1	2	5	25	1964	3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file			2	1/15/11, 4:46 PM	8	4/16/16, 8:52 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/1-05 Because.mp3
I'm Sorry	Brenda Lee		Rob's Top 200 2018	Rob's Top 200 2018					Country	2960491	163			22		1961	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:20 PM	6	6/2/18, 9:41 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/22 I'm Sorry.mp3
Hey Ya	Outkast		Rob's Top 200 2018	Rob's Top 200 2018						5017269	250			1			3/9/19, 12:36 AM	5/15/18, 8:59 PM	160	44100		MPEG audio file		rob	1	12/10/10, 11:59 PM	4	6/2/18, 9:39 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/01 Hey Ya.mp3
Don't Know Why	NORAH JONES		Rob's Top 200 2018	Rob's Top 200 2018						1114834	185						3/9/19, 12:36 AM	5/15/18, 8:59 PM	48	16000		MPEG audio file		rob	1	12/10/10, 11:10 PM	5	6/2/18, 9:38 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Don't Know Why.mp3
How Can You Mend A Broken Heart	Bee Gees		Bill's Top 200 2018	Bill's Top 200 2018	Bill Top 200 2007				Pop	4798344	239	1	2	13	21	1971	3/9/19, 12:34 AM	5/15/18, 8:58 PM	160	44100		MPEG audio file			1	12/10/10, 10:45 PM	7	6/2/18, 9:37 PM	100	Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Bill's Top 200 2018/1-13 How Can You Mend A Broken Heart.mp3
Respectable (Live)	Rolling Stones		Rob's Top 200 2018	Rob's Top 200 2018					Rock	3469228	216					1998	3/9/19, 12:36 AM	5/15/18, 8:59 PM	128	44100		MPEG audio file		rob	1	12/10/10, 11:07 PM	4	6/2/18, 9:36 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/Respectable (Live).mp3
Spaceman	The Killers		Rob's Top 200 2018	Rob's Top 200 2018					Alternative Rock	9573374	284	1	1	3	10	2008	4/11/19, 11:31 PM	5/15/18, 8:59 PM	256	44100		MPEG audio file		Amazon.com Song ID: 208374197			2	8/28/15, 11:29 PM		Macintosh HD/Users/karp/Music/iTunes/iTunes Media/Music/Compilations/Rob's Top 200 2018/03 Spaceman.mp3
